textbook,chapter,question
thinkpython2,Tuples,"How can you create a tuple with a single element, and why is the syntax different from creating a tuple with multiple elements?"
thinkpython2,Tuples,Explain how tuple assignment works and provide an example of swapping the values of two variables using tuple assignment.
thinkpython2,Tuples,"What are the gather and scatter operators in Python functions, and how do they facilitate working with variable-length argument lists?"
thinkpython2,Tuples,"Describe how the built-in functions `zip` and `enumerate` work with sequences, and give an example of how each can be used in a loop with tuple assignment."
thinkpython2,Case study: data structure selection,What are the advantages and disadvantages of using a list versus a dictionary (histogram) to represent the collection of suffixes in Markov analysis?
thinkpython2,Case study: data structure selection,How does the `process_line` function handle punctuation and case when building a word frequency histogram from a text file?
thinkpython2,Case study: data structure selection,"Explain how the algorithm for choosing a random word from a histogram using cumulative sums and bisection search works, and why it is more efficient than the naive approach."
thinkpython2,Case study: data structure selection,"What is set subtraction in the context of comparing word lists, and how can it be used to find words in a book that do not appear in a given word list?"
thinkpython2,Case study: data structure selection,"How does Zipf’s law relate word frequency to rank, and how can plotting log frequency versus log rank help verify this relationship?"
thinkpython2,Files,What is the difference between a transient program and a persistent program in terms of data storage?
thinkpython2,Files,"How do you open a file for writing in Python, and what happens if the file already exists?"
thinkpython2,Files,Explain how the format operator (%) works in Python when writing data to a file. What happens if the number or types of arguments do not match the format sequences?
thinkpython2,Files,"What functions does the `os.path` module provide to check whether a path exists, and whether it is a file or a directory?"
thinkpython2,Files,How does the `pickle` module help overcome the limitations of the `dbm` database module when storing data?
thinkpython2,Classes and object,"What is the difference between a class and an instance in Python, and how do you create an instance of a class?"
thinkpython2,Classes and object,How do you assign and access attributes of an object using dot notation? Provide an example with a Point object.
thinkpython2,Classes and object,Explain the difference between a shallow copy and a deep copy of an object. Why might you need to use a deep copy?
thinkpython2,Classes and object,How can you write a function that modifies an attribute of an object passed as an argument? Illustrate this with the example of the `grow_rectangle` function.
thinkpython2,Classes and object,What happens if you try to access an attribute that does not exist in an object? How can you safely check for the presence of an attribute before accessing it?
thinkpython2,Classes and functions,"What is the difference between a pure function and a modifier function in the context of the Time class, and what are the advantages of using pure functions?"
thinkpython2,Classes and functions,"How does the “prototype and patch” development plan work, and what are its potential drawbacks compared to designed development?"
thinkpython2,Classes and functions,Explain how the functions `time_to_int` and `int_to_time` work together to simplify operations on Time objects.
thinkpython2,Classes and functions,"Why are invariants important in programming with Time objects, and how can assert statements be used to enforce them?"
thinkpython2,Classes and functions,"Describe how carrying works when adding two Time objects and why simply adding the hour, minute, and second attributes might produce incorrect results."
thinkpython2,Classes and methods,"What are the two main syntactic differences between methods and functions in Python, and why is the first parameter of a method conventionally named `self`?"
thinkpython2,Classes and methods,How does defining the special method `__init__` improve the process of creating and initializing objects in a class?
thinkpython2,Classes and methods,"Explain how operator overloading works in Python with an example, and describe the purpose of the `__radd__` method."
thinkpython2,Classes and methods,"What is type-based dispatch, and how can it be used within a method like `__add__` to handle different operand types?"
thinkpython2,Classes and methods,"Why is it important to keep the interface of a class separate from its implementation, and how does this principle help maintain and modify code?"
thinkpython2,Inheritance,"What is the difference between a class attribute and an instance attribute in the context of the `Card` class, and how are they accessed?"
thinkpython2,Inheritance,Explain how the `__lt__` method is used to compare two `Card` objects and why the ordering of suit versus rank matters.
thinkpython2,Inheritance,"How does inheritance work in the relationship between the `Deck` and `Hand` classes, and what happens when the `Hand` class overrides the `__init__` method?"
thinkpython2,Inheritance,"What are the main types of relationships shown in a class diagram, and how are the IS-A and HAS-A relationships represented?"
thinkpython2,Inheritance,Describe the process of data encapsulation as a development plan and how it applies to transforming a program that uses global variables into one that uses classes and instance attributes.
thinkpython2,The Goodies,How can you rewrite a simple if-else statement that assigns a value to a variable using a conditional expression? Provide an example.
thinkpython2,The Goodies,"What are list comprehensions, and how do they differ from equivalent for loops in terms of readability and performance?"
thinkpython2,The Goodies,"Explain the difference between list comprehensions and generator expressions, and give an example of when you might prefer to use a generator expression."
thinkpython2,The Goodies,"How do the built-in functions `any` and `all` work with generator expressions, and why are they efficient for certain types of checks?"
thinkpython2,The Goodies,"What are `Counter` and `defaultdict` from the `collections` module, and how can they simplify common programming tasks compared to using regular dictionaries?"
